Attribute,Base_Acc,Base_F1,Base_Prec,Base_Rec,Base_AUC
5_o_Clock_Shadow,0.10004007614467489,0.1816608208445315,0.09990480484994238,1.0,0.35731501606332805
Arched_Eyebrows,0.6847009317703637,0.030499075785582256,0.12162162162162163,0.017435716801690735,0.4369535510164707
Attractive,0.49789600240456866,0.6615794982611338,0.49683046807647446,0.9897959183673469,0.4653299505512668
Bags_Under_Eyes,0.4662859432922553,0.2991711616892514,0.20381823070717936,0.5621755253399259,0.5060742714077733
Bald,0.6302474701933674,0.032,0.016939738961399612,0.28841607565011823,0.47008268726534325
Bangs,0.8407474200981866,0.0012566760917373547,0.02702702702702703,0.000643293663557414,0.4589920042907111
Big_Lips,0.5981865544534616,0.19086048623020277,0.2794682422451994,0.14491421568627452,0.46525161387224984
Big_Nose,0.2202184149884781,0.3504423301619095,0.21280154064463816,0.9922022684310019,0.6100610100502695
Black_Hair,0.7273319306682697,0.010903143739778303,0.37037037037037035,0.005533013648100332,0.5300867447664692
Blond_Hair,0.8351367598437031,0.16577946768060836,0.2544747081712062,0.12293233082706767,0.6405983423186332
Blurry,0.9444945396252881,0.02292768959435626,0.10483870967741936,0.01287128712871287,0.5273228040406405
Brown_Hair,0.8203085863139966,0.0,0.0,0.0,0.6342998572027487
Bushy_Eyebrows,0.41769361787396053,0.20274348422496571,0.1232282808070702,0.57153905645785,0.4770061473702426
Chubby,0.9469992986674682,0.0,0.0,0.0,0.5075109377637443
Double_Chin,0.9530107203687005,0.008456659619450317,0.12121212121212122,0.004381161007667032,0.658853971860315
Eyeglasses,0.9347259793607855,0.0,0.0,0.0,0.46307768708253433
Goatee,0.06642620979861737,0.0881690967805069,0.04615069405316806,0.9846994535519126,0.6416869285956712
Gray_Hair,0.12228233643923454,0.06249665578682648,0.03234919403977178,0.9182389937106918,0.5209288884463007
Heavy_Makeup,0.44805129746518385,0.3172636014376007,0.3178544822448473,0.31667491340920334,0.4032918135049234
High_Cheekbones,0.5181845506462278,0.0002079002079002079,0.5,0.0001039717196922437,0.5195992069120849
Male,0.6119126340046087,0.00231809401159047,0.18,0.0011665586519766689,0.3435830410357218
Mouth_Slightly_Open,0.5140266506362088,0.5817993706082684,0.5068349106203995,0.6827886269351412,0.5205501550399823
Mustache,0.6355575593627893,0.10040806232224558,0.05550239234449761,0.5259067357512953,0.6269303825664814
Narrow_Eyes,0.8443041779380823,0.023255813953488372,0.17289719626168223,0.012466307277628033,0.48460853830763806
No_Beard,0.23695020539024145,0.20583941605839415,0.9228611500701263,0.11583827240185435,0.5874790949133873
Oval_Face,0.5933273219116321,0.35957715367623855,0.33638376383763835,0.38620572784273854,0.5591018608838019
Pale_Skin,0.1322011822462679,0.07763164900697514,0.040633186555933336,0.8678571428571429,0.4323291920052196
Pointy_Nose,0.46974251077046386,0.25326278659611995,0.21189942155589658,0.3146914446002805,0.4088190222973663
Receding_Hairline,0.6998296763851317,0.09513742071881606,0.06392045454545454,0.1859504132231405,0.44203428670181266
Rosy_Cheeks,0.9195471395651739,0.025485436893203883,0.09722222222222222,0.014664804469273743,0.6360905951996912
Sideburns,0.2668069331730288,0.08650605417550868,0.045906200317965024,0.7483801295896328,0.49982130028042804
Smiling,0.5240456868049294,0.43810988231119524,0.5351054608494654,0.3708821467908281,0.554560121139938
Straight_Hair,0.2304378318805731,0.3497841361212224,0.21259518419427867,0.9861575178997614,0.5068837966681536
Wavy_Hair,0.604197976154694,0.2032872844610265,0.38037735849056603,0.1387092335213981,0.5612996711870031
Wearing_Earrings,0.7797314898306783,0.0666525153895139,0.26791808873720135,0.03806060606060606,0.5318413381781444
Wearing_Hat,0.8317803827271817,0.07288790723357261,0.04743083003952569,0.1573301549463647,0.46720671031401567
Wearing_Lipstick,0.4558661456767859,0.609617596319724,0.48724577731816615,0.8140717988097523,0.3000227437778157
Wearing_Necklace,0.7903516681695221,0.09513513513513513,0.11752136752136752,0.07991282237559026,0.49170219369032797
Wearing_Necktie,0.080853621881575,0.1323181689208361,0.07084620448675748,1.0,0.8340430018332562
Young,0.2428614367297866,0.0,0.0,0.0,0.5363884709977548
